"DATE START: 2016-04-01","DATE END: 2016-04-30","MAIN CURRENCY:Euro"
" "," "," "
DATE,NAME,"CONVERSION RATE","CASINO NET","ROYALPK NET","FOREX NET","BETTING NET","BETTING LIVE NET","POKER LIVE DIFF","POKER LIVE RAKE","POKER 2D DIFF","POKER 2D RAKE"
" "," "," "
" "," "," "
2016-04,dollaro,none,"47,672.62",0.00,0.00,0.00,0.00,"25,277.32","22,790.91",0.00,0.00
2016-04,BlueOceanGaming,none,"3,321.45",0.00,0.00,0.00,0.00,-133.84,308.11,0.00,0.00
2016-04,GammaBet,none,"2,418.06",0.00,0.00,0.00,0.00,-0.15,167.34,0.00,0.00
2016-04,[EUR]Golden,none,"1,470.55",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-04,[USD]Golden,USD(1.1390),211.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-04,[CHF]Golden,CHF(1.1060),"1,562.88",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-04,Jebetting,none,"2,511.48",0.00,0.00,0.00,0.00,4.53,6.44,0.00,0.00
2016-04,[TRY]GoldenC,TRY(3.3470),"1,214.07",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-04,DBGBetting,none,0.00,0.00,0.00,-913.37,0.00,0.00,0.00,0.00,0.00
2016-04,777Gaming,none,"2,985.61",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-04,[MDK]GoldenC,MKD(61.5550),-109.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-04,[USD]VLTGroup,USD(1.1390),"11,414.29",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-04,[GEL]LasVegas,GEL(2.5110),"6,026.69",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-04,"[WM] BetClock",none,"23,513.56",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-04,"[WM] BetClockPKL",none,0.00,0.00,0.00,0.00,0.00,"1,180.01",661.48,0.00,0.00
2016-04,Sekabet,none,"1,209.57",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-04,SekabetBetting,TRY(3.3470),0.00,0.00,0.00,"2,121.04","6,805.76",0.00,0.00,0.00,0.00
2016-04,17sportweb-BookMakerFuture,none,"-5,325.11",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-04,betgeneration-BookMakerFuture,none,"2,179.74",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-04,dbetplus-BookMakerFuture,none,"2,011.04",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-04,madebet-BookMakerFuture,none,13.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-04,millionairewin-BookMakerFuture,none,"5,560.09",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-04,orobet365-BookMakerFuture,none,473.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-04,prismabet-BookMakerFuture,none,"-11,065.18",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-04,royalwin90-BookMakerFuture,none,110.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-04,scommessa1x2-BookMakerFuture,none,478.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-04,LeaderBet,GEL(2.5110),-401.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-04,TBet,GEL(2.5110),27.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-04,[AZN]Golden,AZN(1.7163),544.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-04,BetMaximum,GEL(2.5110),-94.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-04,Sport365Bet-BookMakerFuture,none,44.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-04,Royalgames36-Gammabet,none,"5,643.08",0.00,0.00,0.00,0.00,634.17,772.19,0.00,0.00
2016-04,Sdcsport-BookMakerFuture,none,"1,271.97",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-04,DayBet24-BookMakerFuture,none,-39.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
