"DATE START: 2016-01-16","DATE END: 2016-01-16","MAIN CURRENCY:Euro"
" "," "," "
DATE,NAME,"CONVERSION RATE","CASINO BET","CASINO WIN","CASINO NET","ROYALPK BET","ROYALPK WIN","ROYALPK NET","POKER LIVE BET","POKER LIVE WIN","POKER LIVE DIFF","POKER LIVE RAKE","POKER 2D BET","POKER 2D WIN","POKER 2D DIFF","POKER 2D RAKE"
" "," "," "
" "," "," "
2016-01,dollaro,none,"101,223.84","103,108.48","-1,884.64",0.00,0.00,0.00,"14,459.82","13,746.46",713.36,709.91,0.00,0.00,0.00,0.00
2016-01,BlueOceanGaming,none,"2,965.00","2,736.15",228.85,0.00,0.00,0.00,141.60,154.01,-12.41,8.33,0.00,0.00,0.00,0.00
2016-01,GammaBet,none,"14,302.79","13,471.41",831.38,0.00,0.00,0.00,741.84,598.06,143.78,36.02,0.00,0.00,0.00,0.00
2016-01,[EUR]Golden,none,"4,290.00","4,235.00",55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-01,[USD]Golden,USD(1.0920),"6,919.87","6,761.26",173.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-01,[CHF]Golden,CHF(1.0940),248.63,156.12,101.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-01,Jebetting,none,"7,790.99","6,686.95","1,104.04",368.50,347.25,21.25,327.18,329.04,-1.86,17.69,0.00,0.00,0.00,0.00
2016-01,[TRY]GoldenC,TRY(3.3280),437.05,484.83,-159.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-01,777Gaming,none,860.72,734.96,125.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-01,[USD]VLTGroup,USD(1.0920),"12,783.86","12,318.08",508.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-01,[GEL]LasVegas,GEL(2.6467),297.15,165.83,347.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-01,"[WM] BetClock",none,"12,581.33","13,545.49",-964.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-01,"[WM] BetClockPKL",none,0.00,0.00,0.00,0.00,0.00,0.00,"1,365.00","1,260.07",104.93,65.32,0.00,0.00,0.00,0.00
2016-01,Sekabet,none,84.80,42.71,42.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-01,SekabetBetting,TRY(3.3280),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-01,LeaderBet,GEL(2.6467),"9,769.51","8,815.09","2,526.08",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-01,Stanley,none,"12,436.07","11,865.80",570.27,0.00,0.00,0.00,137.95,111.05,26.90,6.72,"55,277.58","52,746.22","2,531.36","2,420.17"
2016-01,EuroShopOnline,none,"1,567.64","1,345.08",222.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-01,[AZN]Golden,AZN(1.7084),156.87,135.21,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-01,BetMaximum,GEL(2.6467),15.87,7.56,22.00,204.29,196.11,8.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
